lat_deg,lon_deg,elevation,timestamp_hhmmss_jst,east_m,north_m,speed,bearing,distance_to_ref_point,status
35.5757654,139.6701764,12.3,13:35:53,379504.00782205386,3937709.9124859218,1.6105176760837048,295.8047270790441,2.2067358993517012,southward
35.5757642,139.67017719999998,12.3,13:35:53,379504.07851712673,3937709.7784070615,1.5631330697455497,296.80291683046664,2.336737407172044,southward
35.575763,139.670178,12.3,13:35:53,379504.1492121996,3937709.6443282017,1.5157484634073946,297.80110658188914,2.4667389149923866,southward
35.5757611,139.670179,12.3,13:35:54,379504.2369818877,3937709.4323630305,1.5935919072612865,297.27032309515835,2.692184485291552,southward
35.5757592,139.67018,12.3,13:35:54,379504.3247515758,3937709.22039786,1.6714353511151783,296.7395396084275,2.9176300555907173,southward
35.5757573,139.67018099999999,12.3,13:35:54,379504.412521264,3937709.0084326887,1.7492787949690702,296.20875612169664,3.1430756258898827,southward
35.5757554,139.67018199999998,12.3,13:35:54,379504.5002909521,3937708.7964675175,1.827122238822962,295.67797263496584,3.3685211961890484,southward
35.575753500000005,139.670183,12.3,13:35:54,379504.5880606402,3937708.584502347,1.904965682676854,295.14718914823504,3.5939667664882133,southward
35.575751600000004,139.670184,12.3,13:35:54,379504.6758303283,3937708.3725371757,1.982809126530746,294.6164056615042,3.819412336787379,southward
35.5757497,139.670185,12.3,13:35:54,379504.7636000164,3937708.1605720045,2.060652570384638,294.08562217477333,4.044857907086545,southward
35.5757478,139.670186,12.3,13:35:54,379504.8513697046,3937707.9486068333,2.1384960142385294,293.55483868804254,4.27030347738571,southward
35.5757459,139.670187,12.3,13:35:54,379504.9391393927,3937707.7366416627,2.2163394580924214,293.02405520131174,4.495749047684875,southward
35.575744,139.670188,12.3,13:35:54,379505.0269090808,3937707.5246764915,2.2941829019463134,292.4932717145809,4.7211946179840405,southward
35.5757432,139.67018819999998,12.3,13:35:55,379505.0438338815,3937707.4356985237,2.155337939137842,291.32092122886627,4.811578933076039,southward
